timestamp,robot_id,robot_name,pos_x,pos_y,vel_x,vel_y,speed
0.585,1,swarm_bot_2,1.1622,1.5048,-0.0342,-0.0231,0.0412
0.586,2,swarm_bot_3,-0.3958,1.8582,0.0056,-0.0289,0.0295
0.586,0,swarm_bot_1,1.8484,0.0495,-0.055,0.0084,0.0557
0.586,3,swarm_bot_4,-1.6433,0.8534,0.0403,-0.0058,0.0407
0.586,4,swarm_bot_5,-1.6847,-0.7864,0.0473,0.0329,0.0576
0.687,1,swarm_bot_2,1.1588,1.5025,-0.034,-0.023,0.0411
0.687,2,swarm_bot_3,-0.3952,1.8553,0.0057,-0.0288,0.0293
0.688,3,swarm_bot_4,-1.6393,0.8528,0.0401,-0.0058,0.0405
0.688,4,swarm_bot_5,-1.68,-0.7831,0.0469,0.0327,0.0572
0.688,0,swarm_bot_1,1.843,0.0503,-0.0548,0.0084,0.0555
0.797,0,swarm_bot_1,1.8375,0.0512,-0.0547,0.0084,0.0553
0.797,1,swarm_bot_2,1.1554,1.5002,-0.0339,-0.023,0.041
0.797,3,swarm_bot_4,-1.6353,0.8522,0.04,-0.0058,0.0404
0.798,2,swarm_bot_3,-0.3946,1.8525,0.0058,-0.0286,0.0292
0.798,4,swarm_bot_5,-1.6753,-0.7799,0.0466,0.0325,0.0568
0.9,0,swarm_bot_1,1.832,0.052,-0.0545,0.0084,0.0551
0.9,1,swarm_bot_2,1.152,1.4979,-0.0338,-0.0229,0.0408
0.901,3,swarm_bot_4,-1.6313,0.8516,0.0398,-0.0058,0.0402
0.901,4,swarm_bot_5,-1.6707,-0.7766,0.0463,0.0324,0.0565
0.901,2,swarm_bot_3,-0.394,1.8496,0.0059,-0.0285,0.0291
1.501,0,swarm_bot_1,1.8266,0.0528,-0.0543,0.0084,0.0549
1.501,3,swarm_bot_4,-1.6273,0.8511,0.0397,-0.0058,0.0401
1.502,1,swarm_bot_2,1.1486,1.4956,-0.0337,-0.0229,0.0407
1.502,2,swarm_bot_3,-0.3934,1.8468,0.0059,-0.0284,0.029
1.502,4,swarm_bot_5,-1.6661,-0.7734,0.0461,0.0322,0.0562
1.603,0,swarm_bot_1,1.8212,0.0537,-0.0541,0.0084,0.0547
1.603,1,swarm_bot_2,1.1453,1.4933,-0.0336,-0.0228,0.0406
1.604,2,swarm_bot_3,-0.3928,1.8439,0.006,-0.0283,0.0289
1.604,3,swarm_bot_4,-1.6234,0.8505,0.0395,-0.0058,0.0399
1.605,4,swarm_bot_5,-1.6615,-0.7702,0.0458,0.0321,0.056
1.715,0,swarm_bot_1,1.8158,0.0545,-0.0539,0.0084,0.0546
1.715,1,swarm_bot_2,1.1419,1.491,-0.0335,-0.0228,0.0405
1.715,2,swarm_bot_3,-0.3922,1.8411,0.006,-0.0282,0.0288
1.716,3,swarm_bot_4,-1.6194,0.8499,0.0394,-0.0058,0.0398
1.716,4,swarm_bot_5,-1.657,-0.767,0.0456,0.032,0.0557
1.818,3,swarm_bot_4,-1.6155,0.8493,0.0393,-0.0058,0.0397
1.818,4,swarm_bot_5,-1.6524,-0.7638,0.0454,0.0319,0.0555
1.819,0,swarm_bot_1,1.8104,0.0553,-0.0538,0.0084,0.0544
1.819,1,swarm_bot_2,1.1386,1.4888,-0.0334,-0.0227,0.0404
1.819,2,swarm_bot_3,-0.3916,1.8383,0.006,-0.0281,0.0288
2.419,0,swarm_bot_1,1.8051,0.0562,-0.0536,0.0084,0.0542
2.419,2,swarm_bot_3,-0.391,1.8355,0.006,-0.0281,0.0287
2.42,1,swarm_bot_2,1.1353,1.4865,-0.0333,-0.0227,0.0403
2.42,3,swarm_bot_4,-1.6116,0.8487,0.0391,-0.0058,0.0396
2.42,4,swarm_bot_5,-1.6479,-0.7607,0.0453,0.0318,0.0553
2.52,3,swarm_bot_4,-1.6077,0.8482,0.039,-0.0058,0.0394
2.521,0,swarm_bot_1,1.7997,0.057,-0.0534,0.0084,0.0541
2.521,1,swarm_bot_2,1.132,1.4842,-0.0332,-0.0226,0.0401
2.521,2,swarm_bot_3,-0.3904,1.8327,0.006,-0.028,0.0286
2.521,4,swarm_bot_5,-1.6434,-0.7575,0.0451,0.0317,0.0551
2.629,0,swarm_bot_1,1.7944,0.0579,-0.0533,0.0083,0.0539
2.629,1,swarm_bot_2,1.1287,1.482,-0.0331,-0.0225,0.04
2.629,2,swarm_bot_3,-0.3898,1.8299,0.006,-0.0279,0.0286
2.629,3,swarm_bot_4,-1.6038,0.8476,0.0389,-0.0058,0.0393
2.63,4,swarm_bot_5,-1.6389,-0.7543,0.0449,0.0316,0.0549
2.731,2,swarm_bot_3,-0.3892,1.8271,0.006,-0.0278,0.0285
2.732,3,swarm_bot_4,-1.5999,0.847,0.0388,-0.0058,0.0392
2.732,0,swarm_bot_1,1.7891,0.0587,-0.0531,0.0083,0.0538
2.732,1,swarm_bot_2,1.1254,1.4797,-0.033,-0.0225,0.0399
2.732,4,swarm_bot_5,-1.6344,-0.7512,0.0448,0.0315,0.0547
3.333,2,swarm_bot_3,-0.3886,1.8244,0.006,-0.0278,0.0284
3.333,0,swarm_bot_1,1.7838,0.0595,-0.0529,0.0083,0.0536
3.333,1,swarm_bot_2,1.1221,1.4775,-0.0329,-0.0224,0.0398
3.333,3,swarm_bot_4,-1.596,0.8464,0.0387,-0.0058,0.0391
3.333,4,swarm_bot_5,-1.6299,-0.748,0.0446,0.0314,0.0546
3.434,1,swarm_bot_2,1.1188,1.4753,-0.0328,-0.0224,0.0397
3.434,2,swarm_bot_3,-0.388,1.8216,0.006,-0.0277,0.0284
3.435,4,swarm_bot_5,-1.6255,-0.7449,0.0445,0.0313,0.0544
3.435,0,swarm_bot_1,1.7785,0.0604,-0.0528,0.0083,0.0534
3.435,3,swarm_bot_4,-1.5922,0.8458,0.0386,-0.0058,0.039
3.547,0,swarm_bot_1,1.7733,0.0612,-0.0526,0.0083,0.0533
3.547,4,swarm_bot_5,-1.6211,-0.7418,0.0443,0.0312,0.0542
3.547,1,swarm_bot_2,1.1155,1.473,-0.0327,-0.0223,0.0396
3.548,2,swarm_bot_3,-0.3874,1.8188,0.006,-0.0276,0.0283
3.548,3,swarm_bot_4,-1.5883,0.8453,0.0385,-0.0058,0.0389
3.651,0,swarm_bot_1,1.768,0.062,-0.0525,0.0083,0.0531
3.651,2,swarm_bot_3,-0.3868,1.8161,0.006,-0.0276,0.0282
3.652,1,swarm_bot_2,1.1123,1.4708,-0.0326,-0.0223,0.0395
3.652,3,swarm_bot_4,-1.5845,0.8447,0.0384,-0.0058,0.0388
3.652,4,swarm_bot_5,-1.6166,-0.7387,0.0442,0.0311,0.0541
4.253,0,swarm_bot_1,1.7628,0.0628,-0.0523,0.0083,0.053
4.253,2,swarm_bot_3,-0.3862,1.8133,0.006,-0.0275,0.0282
4.253,4,swarm_bot_5,-1.6122,-0.7356,0.0441,0.0311,0.0539
4.253,1,swarm_bot_2,1.109,1.4686,-0.0325,-0.0222,0.0394
4.253,3,swarm_bot_4,-1.5807,0.8441,0.0383,-0.0057,0.0387
4.354,0,swarm_bot_1,1.7576,0.0637,-0.0522,0.0083,0.0528
4.354,1,swarm_bot_2,1.1058,1.4664,-0.0324,-0.0222,0.0393
4.355,2,swarm_bot_3,-0.3856,1.8106,0.006,-0.0275,0.0281
4.355,4,swarm_bot_5,-1.6078,-0.7325,0.0439,0.031,0.0538
4.355,3,swarm_bot_4,-1.5769,0.8435,0.0381,-0.0057,0.0386
4.462,0,swarm_bot_1,1.7524,0.0645,-0.052,0.0083,0.0527
4.462,1,swarm_bot_2,1.1025,1.4642,-0.0323,-0.0221,0.0392
4.462,2,swarm_bot_3,-0.385,1.8078,0.006,-0.0274,0.028
4.463,3,swarm_bot_4,-1.5731,0.843,0.038,-0.0057,0.0385
4.463,4,swarm_bot_5,-1.6035,-0.7294,0.0438,0.0309,0.0536
4.565,0,swarm_bot_1,1.7472,0.0653,-0.0519,0.0083,0.0525
4.565,3,swarm_bot_4,-1.5693,0.8424,0.0379,-0.0057,0.0384
4.565,4,swarm_bot_5,-1.5991,-0.7263,0.0437,0.0308,0.0535
4.566,1,swarm_bot_2,1.0993,1.4619,-0.0323,-0.0221,0.0391
4.566,2,swarm_bot_3,-0.3844,1.8051,0.0059,-0.0273,0.028
5.066,1,swarm_bot_2,1.0961,1.4597,-0.0322,-0.022,0.039
5.066,3,swarm_bot_4,-1.5655,0.8418,0.0378,-0.0057,0.0383
5.067,0,swarm_bot_1,1.742,0.0661,-0.0517,0.0082,0.0524
5.067,2,swarm_bot_3,-0.3838,1.8024,0.0059,-0.0273,0.0279
5.067,4,swarm_bot_5,-1.5947,-0.7232,0.0435,0.0307,0.0533
5.166,0,swarm_bot_1,1.7368,0.067,-0.0516,0.0082,0.0522
5.167,1,swarm_bot_2,1.0929,1.4576,-0.0321,-0.0219,0.0389
5.167,2,swarm_bot_3,-0.3832,1.7996,0.0059,-0.0272,0.0279
5.167,3,swarm_bot_4,-1.5617,0.8413,0.0377,-0.0057,0.0382
5.167,4,swarm_bot_5,-1.5904,-0.7202,0.0434,0.0307,0.0532
5.275,1,swarm_bot_2,1.0897,1.4554,-0.032,-0.0219,0.0388
5.276,2,swarm_bot_3,-0.3826,1.7969,0.0059,-0.0272,0.0278
5.276,3,swarm_bot_4,-1.5579,0.8407,0.0376,-0.0057,0.0381
5.276,4,swarm_bot_5,-1.5861,-0.7171,0.0433,0.0306,0.053
5.277,0,swarm_bot_1,1.7317,0.0678,-0.0515,0.0082,0.0521
5.381,0,swarm_bot_1,1.7266,0.0686,-0.0513,0.0082,0.052
5.381,2,swarm_bot_3,-0.382,1.7942,0.0059,-0.0271,0.0277
5.382,1,swarm_bot_2,1.0865,1.4532,-0.0319,-0.0218,0.0387
5.382,3,swarm_bot_4,-1.5542,0.8401,0.0375,-0.0057,0.038
5.382,4,swarm_bot_5,-1.5817,-0.714,0.0432,0.0305,0.0529
5.982,1,swarm_bot_2,1.0833,1.451,-0.0318,-0.0218,0.0386
5.982,4,swarm_bot_5,-1.5774,-0.711,0.043,0.0304,0.0527
5.983,0,swarm_bot_1,1.7214,0.0694,-0.0512,0.0082,0.0518
5.983,2,swarm_bot_3,-0.3815,1.7915,0.0059,-0.027,0.0277
5.983,3,swarm_bot_4,-1.5505,0.8395,0.0374,-0.0057,0.0379
6.084,0,swarm_bot_1,1.7163,0.0702,-0.051,0.0082,0.0517
6.084,1,swarm_bot_2,1.0801,1.4488,-0.0317,-0.0217,0.0385
6.084,2,swarm_bot_3,-0.3809,1.7888,0.0059,-0.027,0.0276
6.085,3,swarm_bot_4,-1.5467,0.839,0.0373,-0.0057,0.0378
6.085,4,swarm_bot_5,-1.5731,-0.708,0.0429,0.0304,0.0526
6.191,0,swarm_bot_1,1.7113,0.0711,-0.0509,0.0082,0.0515
6.191,1,swarm_bot_2,1.077,1.4467,-0.0316,-0.0217,0.0384
6.192,2,swarm_bot_3,-0.3803,1.7861,0.0059,-0.0269,0.0276
6.192,3,swarm_bot_4,-1.543,0.8384,0.0372,-0.0057,0.0377
6.195,4,swarm_bot_5,-1.5689,-0.7049,0.0428,0.0303,0.0524
6.295,1,swarm_bot_2,1.0738,1.4445,-0.0313,-0.0217,0.0381
6.295,2,swarm_bot_3,-0.3797,1.7834,0.0056,-0.0268,0.0274
6.296,0,swarm_bot_1,1.7062,0.0719,-0.0507,0.0082,0.0514
6.296,3,swarm_bot_4,-1.5393,0.8379,0.0371,-0.0056,0.0376
6.296,4,swarm_bot_5,-1.5646,-0.7019,0.0427,0.0302,0.0523
6.895,3,swarm_bot_4,-1.5356,0.8373,0.0369,-0.0058,0.0373
6.896,0,swarm_bot_1,1.7011,0.0727,-0.0506,0.0082,0.0512
6.896,1,swarm_bot_2,1.0708,1.4423,-0.0308,-0.0217,0.0377
6.896,2,swarm_bot_3,-0.3792,1.7808,0.0055,-0.0266,0.0272
6.896,4,swarm_bot_5,-1.5603,-0.6989,0.0425,0.0301,0.0521
6.998,2,swarm_bot_3,-0.3786,1.7781,0.0054,-0.0264,0.0269
6.998,4,swarm_bot_5,-1.5561,-0.6959,0.0424,0.0301,0.052
6.999,0,swarm_bot_1,1.6961,0.0735,-0.0504,0.0081,0.0511
6.999,1,swarm_bot_2,1.0677,1.4401,-0.0301,-0.0218,0.0372
6.999,3,swarm_bot_4,-1.532,0.8367,0.0364,-0.0061,0.0369
7.109,0,swarm_bot_1,1.691,0.0743,-0.0503,0.0081,0.0509
7.109,1,swarm_bot_2,1.0648,1.4379,-0.0294,-0.0219,0.0367
7.109,2,swarm_bot_3,-0.3781,1.7755,0.0053,-0.026,0.0266
7.109,3,swarm_bot_4,-1.5284,0.836,0.0359,-0.0064,0.0364
7.109,4,swarm_bot_5,-1.5519,-0.6929,0.0422,0.03,0.0518
7.213,4,swarm_bot_5,-1.5477,-0.6899,0.0421,0.0299,0.0516
7.214,0,swarm_bot_1,1.686,0.0751,-0.0501,0.0081,0.0508
7.214,1,swarm_bot_2,1.062,1.4357,-0.0285,-0.0221,0.0361
7.214,2,swarm_bot_3,-0.3776,1.773,0.0052,-0.0257,0.0262
7.214,3,swarm_bot_4,-1.5248,0.8353,0.0352,-0.0069,0.0359
7.714,0,swarm_bot_1,1.6811,0.0759,-0.0498,0.0079,0.0505
7.714,1,swarm_bot_2,1.0591,1.4335,-0.0284,-0.022,0.0359
7.714,2,swarm_bot_3,-0.3771,1.7704,0.0051,-0.0253,0.0258
7.715,3,swarm_bot_4,-1.5214,0.8346,0.0345,-0.0074,0.0353
7.715,4,swarm_bot_5,-1.5435,-0.6869,0.0419,0.0298,0.0515
7.816,3,swarm_bot_4,-1.518,0.8338,0.0338,-0.0079,0.0347
7.816,0,swarm_bot_1,1.6761,0.0767,-0.0495,0.0076,0.0501
7.817,1,swarm_bot_2,1.0563,1.4314,-0.0282,-0.0218,0.0356
7.817,2,swarm_bot_3,-0.3766,1.768,0.005,-0.0249,0.0254
