timestamp,robot_id,robot_name,pos_x,pos_y,vel_x,vel_y,speed
0.057,0,swarm_bot_1,1.5983,0.0753,-0.0409,-0.004,0.0411
0.058,1,swarm_bot_2,1.0121,1.3956,-0.0226,-0.0164,0.0279
0.058,2,swarm_bot_3,-0.3708,1.7288,0.0032,-0.018,0.0183
0.058,3,swarm_bot_4,-1.4764,0.8263,0.028,-0.0054,0.0285
0.159,0,swarm_bot_1,1.5942,0.0749,-0.0405,-0.0046,0.0408
0.159,1,swarm_bot_2,1.0099,1.394,-0.0222,-0.0162,0.0275
0.16,2,swarm_bot_3,-0.3705,1.7271,0.0032,-0.0177,0.018
0.16,3,swarm_bot_4,-1.4736,0.8258,0.0276,-0.0053,0.0281
0.268,0,swarm_bot_1,1.5902,0.0744,-0.0401,-0.0052,0.0404
0.268,1,swarm_bot_2,1.0077,1.3924,-0.0219,-0.016,0.0271
0.268,3,swarm_bot_4,-1.4709,0.8253,0.0271,-0.0052,0.0276
0.269,2,swarm_bot_3,-0.3702,1.7253,0.0031,-0.0173,0.0176
0.372,0,swarm_bot_1,1.5863,0.0738,-0.0396,-0.0057,0.0401
0.373,1,swarm_bot_2,1.0056,1.3908,-0.0215,-0.0157,0.0267
0.373,2,swarm_bot_3,-0.3699,1.7236,0.0031,-0.0169,0.0172
0.373,3,swarm_bot_4,-1.4682,0.8248,0.0267,-0.0051,0.0272
0.973,1,swarm_bot_2,1.0034,1.3892,-0.0212,-0.0155,0.0263
0.973,0,swarm_bot_1,1.5823,0.0732,-0.0392,-0.0062,0.0397
0.974,2,swarm_bot_3,-0.3696,1.722,0.003,-0.0166,0.0169
0.974,3,swarm_bot_4,-1.4656,0.8243,0.0263,-0.005,0.0268
1.045,4,swarm_bot_5,-1.4378,-0.6237,0.0384,0.0166,0.0419
1.046,4,swarm_bot_5,-1.434,-0.6221,0.0383,0.0158,0.0414
1.046,4,swarm_bot_5,-1.4302,-0.6206,0.0381,0.0151,0.041
1.046,4,swarm_bot_5,-1.4264,-0.6191,0.038,0.0143,0.0406
1.047,4,swarm_bot_5,-1.4226,-0.6178,0.0378,0.0136,0.0402
1.075,2,swarm_bot_3,-0.3693,1.7204,0.003,-0.0163,0.0165
1.075,4,swarm_bot_5,-1.4188,-0.6165,0.0377,0.0129,0.0398
1.075,0,swarm_bot_1,1.5785,0.0725,-0.0389,-0.0067,0.0394
1.076,1,swarm_bot_2,1.0014,1.3877,-0.0209,-0.0153,0.0259
1.076,3,swarm_bot_4,-1.463,0.8238,0.0259,-0.005,0.0263
1.183,2,swarm_bot_3,-0.369,1.7188,0.0029,-0.0159,0.0162
1.183,3,swarm_bot_4,-1.4605,0.8233,0.0255,-0.0049,0.0259
1.183,4,swarm_bot_5,-1.4151,-0.6153,0.0376,0.0122,0.0395
